game_num,target,guesses,guess_count,failed,is_repeat,repeat_prob
1855,booth,slate-robin-booth,3,False,False,0.105568303731076
1856,churn,slate-crony-churn,3,False,False,0.1045126206937653
1857,diver,slate-doper-diver,3,False,False,0.1034674944868276
1858,shill,slate-silky-shill,3,False,False,0.1024328195419593
1859,lorry,slate-dilly-loony-lorry,4,False,False,0.1014084913465398
1860,orbit,slate-pinot-orbit,3,False,False,0.1003944064330744
1861,putty,slate-pound-putty,3,False,False,0.0993904623687436
1862,aloha,slate-allay-aloha,3,False,False,0.0983965577450562
1863,grape,slate-grape,2,False,False,0.0974125921676056
1864,poser,slate-runes-poser,3,False,False,0.0964384662459296
1865,sonar,slate-garbo-sonar,3,False,False,0.0954740815834703
1866,valve,slate-vapid-valve,3,False,False,0.094519
1867,flume,slate-oldie-plebe-fluke-flume,5,False,True,0.103574
