word,prior,expected_guesses
agons,0.0,2.6899
agony,1.0,2.697
agood,0.0,2.8212
agora,0.956463,2.7764
agree,1.0,2.7162
agria,0.0,2.7739
agrin,0.0,2.6591
agros,0.0,2.6821
agrum,0.0,2.7322
agued,0.0,2.7167
agues,0.0,2.7142
aguey,0.0,2.7445
aguna,0.0,2.8136
agush,0.0,2.7332
aguti,0.0,2.7499
ahead,1.0,2.8058
aheap,0.0,2.7807
ahent,0.0,2.613
ahigh,0.0,2.8575
ahind,0.0,2.6887
ahing,0.0,2.7069
ahint,0.0,2.6177
ahold,0.993709,2.6571
ahole,0.0,2.6244
ahull,0.0,2.7813
ahuru,0.0,2.8421
aidas,0.0,2.7706
aided,0.003896,2.7793
aider,0.859036,2.6118
aides,0.0,2.6577
aidoi,0.0,2.8321
aidos,0.0,2.6884
aiery,0.0,2.6393
aigas,0.0,2.7749
aight,0.0,2.6967
ailed,0.003896,2.6047
aimag,0.0,2.8135
aimak,0.0,2.8287
aimed,0.003896,2.656
aimer,0.0,2.627
ainee,0.0,2.6641
ainga,0.0,2.7612
aioli,1.0,2.7922
aired,0.003896,2.6042
airer,0.0,2.6809
airns,0.0,2.6194
airth,0.0,2.6142
airts,0.0,2.5997
aisle,1.0,2.5859
aitch,0.0,2.6591
aitus,0.0,2.6712
aiver,0.0,2.6705
aixes,0.0,2.7709
aiyah,0.0,2.8052
aiyee,0.0,2.7533
aiyoh,0.0,2.7213
aiyoo,0.0,2.8125
aizle,0.0,2.7197
ajies,0.0,2.7744
ajiva,0.0,2.9892
ajuga,0.0,2.9654
ajupa,0.0,2.9627
ajwan,0.0,2.9652
akara,0.0,2.9205
akees,0.0,2.7744
akela,0.0,2.7984
akene,0.0,2.742
aking,0.0,2.7591
akita,0.0,2.8
akkas,0.0,2.9848
akker,0.0,2.8439
akoia,0.0,2.8564
akoja,0.0,2.9886
akoya,0.0,2.886
aksed,0.0,2.7168
akses,0.0,2.8315
alaap,0.0,2.86
alack,0.0,2.7582
alala,0.0,2.9564
alamo,0.0,2.7501
aland,0.0,2.7135
alane,0.0,2.6569
alang,0.0,2.7283
alans,0.0,2.6984
alant,0.0,2.659
alapa,0.0,2.8703
alaps,0.0,2.7227
alarm,1.0,2.7429
alary,0.0,2.7056
alata,0.0,2.8214
alate,0.0,2.6502
alays,0.0,2.7534
albas,0.0,2.75
albee,0.0,2.6696
albid,0.0,2.6811
album,1.0,2.7195
alcea,0.0,2.7153
alces,0.0,2.6302
alcid,0.0,2.6604
alcos,0.0,2.6538
aldea,0.0,2.7103
alder,0.97456,2.6012
aldol,0.0,2.7576
aleak,0.0,2.7624
aleck,0.0,2.6736
alecs,0.0,2.6133
aleem,0.0,2.691
alefs,0.0,2.6769
aleft,0.0,2.6394
aleph,0.0,2.6552
alert,1.0,2.5753
alews,0.0,2.6897
aleye,0.0,2.7209
alfas,0.0,2.785
algae,1.0,2.7308
algal,0.0,2.8456
algas,0.0,2.752
algid,0.0,2.6733
algin,0.0,2.6415
algor,0.0,2.6316
algos,0.0,2.6703
algum,0.0,2.7199
alias,1.0,2.7339
alibi,1.0,2.8115
alick,0.0,2.682
alien,1.0,2.5818
alifs,0.0,2.6893
align,1.0,2.6367
alike,1.0,2.6465
alims,0.0,2.6601
aline,0.0,2.5778
alios,0.0,2.634
alist,0.0,2.5745
