word,unseen_prior,is_target,src_1_norvig,src_2_wordfreq,src_3_subtlex,src_4_github,src_5_nltk_news,src_6_nltk_fiction,src_7_nltk_reuters,src_8_nltk_gutenberg,src_9_nltk_chat,src_10_nltk_web,log_src_1_norvig,log_src_2_wordfreq,log_src_3_subtlex,log_src_4_github,log_src_5_nltk_news,log_src_6_nltk_fiction,log_src_7_nltk_reuters,log_src_8_nltk_gutenberg,log_src_9_nltk_chat,log_src_10_nltk_web,is_standard_plural,is_excluded,src_breadth,conversational_mean,tech_skew,oof_predicted_prob,ranking_prob,stage_1_rank,is_predicted_solution,is_in_4500_guess_list
vygie,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,7.523779141964293e-06,7.523779141964293e-06,13674,False,False
vying,1.0,1,348440.0,8.32e-07,14.0,303.0,0,0,1,1,0,0,5.5437100381783795,-6.079344571479926,1.14921911265538,2.4815859363676225,-1.0,-1.0,-1.0,0.04139268515822508,-1.0,-1.0,False,False,6,-1.7325313647061367,2.473324332889948,0.5386953614553898,0.5386953614553898,2833,True,True
waacs,0.0,0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,0.7075701760979364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,1,-2.9978499570595205,2.851635045108489,6.821237631930504e-06,6.821237631930504e-06,14816,False,False
wacke,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,8.082461265104315e-06,8.082461265104315e-06,10841,False,False
wacko,0.994431,1,251238.0,2.4e-07,141.0,922.0,0,0,0,0,0,0,5.402277893931004,-6.617946917884685,1.8068580295188175,2.964778022022376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-1.7027722220914667,2.6851612331026544,0.024675971464999794,0.024675971464999794,3955,True,True
wacks,0.0,0,0.0,2.45e-08,2.0,17.0,0,0,0,0,0,0,3.104350519242735,-7.593119329950875,0.3222192947339193,1.2329961103921538,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,3,-2.317725008804239,2.434223064000316,0.00024275896524510196,0.00024275896524510196,5516,False,False
wacky,1.0,1,1861879.0,1.95e-06,164.0,1368.0,0,0,0,0,0,0,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-1.4779691845608613,2.4762250107027404,0.607593211476541,0.607593211476541,2696,True,True
wadas,0.0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,0.04139268515822508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,1,-2.9978499570595205,2.518546299638633,7.78512981365796e-06,7.78512981365796e-06,11676,False,False
wadds,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,0,-2.9978499570595205,1.9978499570595205,8.082461265104315e-06,8.082461265104315e-06,10842,False,False
waddy,0.0,0,68297.0,8.32e-08,1.0,92.0,0,0,0,0,0,0,4.842413263694111,-7.0745847629157534,0.04139268515822508,1.964259630196849,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-2.258298019439382,2.7404278345378064,0.00018556017795668282,0.00018556017795668282,5638,False,False
waded,0.003896,1,156095.0,3.8e-07,11.0,170.0,0,2,0,7,0,0,5.196912561727448,-6.4190522273121235,1.0453229787866574,2.230704313612569,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,6,-1.8434323121313665,2.458784468937651,0.42442859945934536,0.42442859945934536,3008,True,True
wader,0.721877,1,176850.0,6.61e-08,1.0,19.0,0,0,0,0,0,0,5.250716587582305,-7.173148052179356,0.04139268515822508,1.2810333672477277,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-2.282938841755283,2.423455525379147,0.00018856873101473492,0.00018856873101473492,5626,False,True
wades,0.0,0,79144.0,1.55e-07,4.0,23.0,0,0,0,1,0,0,4.905340306667943,-6.806819726434655,0.6127838567197355,1.3636119798921444,-1.0,-1.0,-1.0,0.04139268515822508,-1.0,-1.0,True,True,5,-2.04850896742873,2.2303149573748025,0.0026949302301284635,0.0026949302301284635,4588,False,False
wadge,0.0,0,13839.0,1.12e-08,0.0,1.0,0,0,0,0,0,0,4.179281709310282,-7.912928794093465,-1.0,0.04139268515822508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,3,-2.728232198523366,2.2489285411024786,1.2373370936830063e-05,1.2373370936830063e-05,9184,False,False
wadis,0.0,0,16705.0,4.17e-08,0.0,5.0,0,0,0,0,0,0,4.254707554979636,-7.3693687559795,-1.0,0.7075701760979364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,3,-2.5923421889948752,2.4461272770438436,1.653998758123717e-05,1.653998758123717e-05,8126,False,False
wadts,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,0,-2.9978499570595205,1.9978499570595205,8.06402725747637e-06,8.06402725747637e-06,11463,False,False
