game_num,target,guesses,guess_count,failed,is_repeat,days_since_last,g_bar,base_ema_prob,adjusted_prob
1835,emcee,slate-crump-emcee,3,False,False,2,9.37,0.106929,0.033681
1836,crude,slate-crump-crude,3,False,False,3,9.37,0.10586,0.044724
1837,puppy,slate-crony-bumpy-puppy,4,False,False,4,9.37,0.104801,0.055542
1838,demur,slate-doper-demur,3,False,False,5,9.37,0.103753,0.06614
1839,maven,slate-radar-maven,3,False,False,6,9.37,0.102715,0.07652
1840,baton,slate-tarot-baton,3,False,True,7,9.37,0.111688,0.011169
1841,pizza,slate-cairn-hijab-pizza,4,False,False,1,9.14,0.110571,0.02329
1842,swami,slate-crown-swami,3,False,False,2,9.14,0.109466,0.035167
1843,toddy,slate-timon-toddy,3,False,False,3,9.14,0.108371,0.046804
1844,sling,slate-mourn-sling,3,False,False,4,9.14,0.107287,0.058205
1845,demon,slate-doper-demon,3,False,False,5,9.14,0.106214,0.069374
1846,amend,slate-radar-amend,3,False,False,6,9.14,0.105152,0.080313
1847,canal,slate-canal,2,False,False,7,9.14,0.104101,0.091026
1848,avian,slate-cairn-avian,3,False,False,8,9.14,0.10306,0.101518
1849,clack,slate-clank-clack,3,False,False,9,9.14,0.102029,0.11179
1850,stout,slate-prion-stout,3,False,True,10,9.14,0.111009,0.011101
1851,steak,slate-steak,2,False,False,1,9.22,0.109899,0.02302
1852,pshaw,slate-arson-pshaw,3,False,False,2,9.22,0.1088,0.0347
1853,butte,slate-torte-butte,3,False,False,3,9.22,0.107712,0.046144
1854,legal,slate-recap-legal,3,False,False,4,9.22,0.106635,0.057355
1855,booth,slate-robin-booth,3,False,False,5,9.22,0.105568,0.068338
1856,churn,slate-crony-churn,3,False,False,6,9.22,0.104513,0.079095
1857,diver,slate-doper-diver,3,False,False,7,9.22,0.103467,0.08963
1858,shill,slate-silky-shill,3,False,False,8,9.22,0.102433,0.099947
1859,lorry,slate-dilly-loony-lorry,4,False,False,9,9.22,0.101408,0.110048
1860,orbit,slate-robin-orbit,3,False,False,10,9.22,0.100394,0.119937
1861,putty,slate-futon-putty,3,False,False,11,9.22,0.09939,0.129618
1862,aloha,slate-allay-aloha,3,False,False,12,9.22,0.098397,0.139093
1863,grape,slate-grape,2,False,False,13,9.22,0.097413,0.148365
1864,poser,slate-norms-poser,3,False,False,14,9.22,0.096438,0.157438
1865,sonar,slate-garbo-sonar,3,False,False,15,9.22,0.095474,0.166315
1866,valve,slate-vapid-valve,3,False,False,16,9.22,0.094519,0.174999
1867,flume,slate-clime-flume,3,False,True,17,9.22,0.103574,0.010357
