alpha,ceil,beta,overall_avg,overall_max,overall_fails,2021_avg,2021_max,2021_fails,2022_avg,2022_max,2022_fails,2023_avg,2023_max,2023_fails,2024_avg,2024_max,2024_fails
0.75,750,0.45,3.50232,6,0,3.62245,5,0,3.52329,5,0,3.46027,6,0,3.45902,5,0
0.75,750,0.6,3.50232,6,0,3.62245,5,0,3.53425,5,0,3.45205,6,0,3.45628,5,0
0.75,750,0.75,3.5031,6,0,3.61735,5,0,3.52877,5,0,3.46027,6,0,3.45902,6,0
0.75,1000,0.15,3.49845,6,0,3.61735,6,0,3.51233,5,0,3.46575,6,0,3.45355,6,0
0.75,1000,0.3,3.49923,6,0,3.62245,6,0,3.51233,5,0,3.46575,6,0,3.45355,6,0
0.75,1000,0.45,3.5,6,0,3.61735,5,0,3.51507,5,0,3.46301,6,0,3.45902,5,0
0.75,1000,0.6,3.49923,6,0,3.61735,5,0,3.52055,5,0,3.45753,6,0,3.45628,5,0
0.75,1000,0.75,3.50077,6,0,3.62245,5,0,3.52329,5,0,3.46027,6,0,3.45355,5,0
0.75,1250,0.15,3.5,6,0,3.61735,6,0,3.51507,5,0,3.46575,6,0,3.45628,6,0
0.75,1250,0.3,3.50232,6,0,3.62755,6,0,3.52055,5,0,3.46301,6,0,3.45628,6,0
0.75,1250,0.45,3.50155,6,0,3.62755,6,0,3.51233,5,0,3.46575,6,0,3.45902,6,0
0.75,1250,0.6,3.5,6,0,3.62755,6,0,3.51233,5,0,3.46301,6,0,3.45628,5,0
0.75,1250,0.75,3.49845,6,0,3.62755,6,0,3.51233,5,0,3.46301,6,0,3.45082,5,0
0.75,1500,0.15,3.49845,6,0,3.61224,6,0,3.51507,5,0,3.46575,6,0,3.45355,6,0
0.75,1500,0.3,3.5031,6,0,3.62755,6,0,3.52055,5,0,3.46575,6,0,3.45628,6,0
0.75,1500,0.45,3.50387,6,0,3.63265,6,0,3.51781,5,0,3.46575,6,0,3.45902,6,0
0.75,1500,0.6,3.50232,6,0,3.62755,6,0,3.51233,5,0,3.46575,6,0,3.46175,6,0
0.75,1500,0.75,3.50232,6,0,3.63265,6,0,3.50959,5,0,3.46575,6,0,3.46175,6,0
0.75,1750,0.15,3.4969,6,0,3.61224,6,0,3.51233,5,0,3.46027,6,0,3.45628,6,0
0.75,1750,0.3,3.5,6,0,3.62245,6,0,3.51507,5,0,3.46301,6,0,3.45628,6,0
0.75,1750,0.45,3.50387,6,0,3.63776,6,0,3.52055,5,0,3.46575,6,0,3.45355,6,0
0.75,1750,0.6,3.50542,6,0,3.63776,6,0,3.52329,5,0,3.46575,6,0,3.45628,6,0
