game_num,year,target,guesses,guess_count,failed
132,2021,world,slate-dilly-amuck-world,4,False
133,2021,gouge,slate-groin-gouge,3,False
134,2021,click,slate-bucko-click,3,False
135,2021,briar,slate-minor-abbas-briar,4,False
136,2021,great,slate-treed-great,3,False
137,2021,altar,slate-begat-altar,3,False
138,2021,pulpy,slate-dilly-block-pulpy,4,False
139,2021,blurt,slate-flung-blurt,3,False
140,2021,coast,slate-bronc-coast,3,False
141,2021,duchy,slate-prion-dumbo-duchy,4,False
142,2021,groin,slate-prion-groin,3,False
143,2021,fixer,slate-diner-parka-affix-fixer,5,False
144,2021,group,slate-prion-group,3,False
145,2021,rogue,slate-corgi-rogue,3,False
146,2021,badly,slate-rally-admin-badly,4,False
147,2021,smart,slate-pinch-murky-smart,4,False
148,2021,pithy,slate-chino-frump-pithy,4,False
149,2021,gaudy,slate-minor-pudgy-gaudy,4,False
150,2021,chill,slate-dilly-gruff-chill,4,False
151,2021,heron,slate-diner-acorn-heron,4,False
152,2021,vodka,slate-minor-adapt-vodka,4,False
153,2021,finer,slate-diner-finer,3,False
154,2021,surer,slate-hired-about-surer,4,False
155,2021,radio,slate-minor-radio,3,False
156,2021,rouge,slate-grind-amour-rouge,4,False
157,2021,perch,slate-diner-myrrh-perch,4,False
158,2021,retch,slate-titer-barry-retch,4,False
159,2021,wrote,slate-turbo-wrote,3,False
160,2021,clock,slate-bucko-clock,3,False
161,2021,tilde,slate-tight-tilde,3,False
162,2021,store,slate-brink-store,3,False
163,2021,prove,slate-grind-beeps-prove,4,False
164,2021,bring,slate-crony-being-bring,4,False
165,2021,solve,slate-abide-solve,3,False
166,2021,cheat,slate-treed-ached-cheat,4,False
167,2021,grime,slate-grind-grime,3,False
168,2021,exult,slate-enter-exult,3,False
169,2021,usher,slate-runes-usher,3,False
170,2021,epoch,slate-diner-whomp-epoch,4,False
171,2021,triad,slate-tarot-triad,3,False
172,2021,break,slate-raced-blown-break,4,False
173,2021,rhino,slate-crony-rhino,3,False
174,2021,viral,slate-rally-mogul-viral,4,False
175,2021,conic,slate-crony-amigo-conic,4,False
176,2021,masse,slate-crump-masse,3,False
177,2021,sonic,slate-unhip-sonic,3,False
178,2021,vital,slate-taint-vital,3,False
179,2021,trace,slate-ached-trace,3,False
180,2021,using,slate-mochi-kirby-using,4,False
181,2021,peach,slate-hardy-beach-peach,4,False
182,2021,champ,slate-churn-champ,3,False
183,2021,baton,slate-tutor-baton,3,False
184,2021,brake,slate-prick-brake,3,False
185,2021,pluck,slate-bucko-pluck,3,False
186,2021,craze,slate-prick-anvil-craze,4,False
187,2021,gripe,slate-grind-gripe,3,False
188,2021,weary,slate-hydra-weary,3,False
189,2021,picky,slate-crony-miked-picky,4,False
190,2021,acute,slate-actor-acute,3,False
191,2021,ferry,slate-diner-myrrh-beefs-ferry,5,False
192,2021,aside,slate-cairn-aside,3,False
193,2021,tapir,slate-tutor-tapir,3,False
194,2021,troll,slate-guilt-hotly-troll,4,False
195,2021,unify,slate-crony-pudge-unify,4,False
196,2022,rebus,slate-runes-rebus,3,False
197,2022,boost,slate-droit-boost,3,False
198,2022,truss,slate-droit-truss,3,False
199,2022,siege,slate-prion-siege,3,False
200,2022,tiger,slate-titer-tiger,3,False
201,2022,banal,slate-rally-birch-banal,4,False
202,2022,slump,slate-punky-slump,3,False
203,2022,crank,slate-churn-crank,3,False
204,2022,gorge,slate-grind-gorge,3,False
205,2022,query,slate-diner-myrrh-every-query,5,False
206,2022,drink,slate-crony-debit-drink,4,False
207,2022,favor,slate-crony-parer-favor,4,False
208,2022,abbey,slate-raced-abash-abbey,4,False
209,2022,tangy,slate-tutor-fancy-tangy,4,False
210,2022,panic,slate-crony-admit-panic,4,False
211,2022,solar,slate-hallo-solar,3,False
212,2022,shire,slate-prion-shire,3,False
213,2022,proxy,slate-crony-proxy,3,False
214,2022,point,slate-court-amped-point,4,False
215,2022,robot,slate-court-robot,3,False
216,2022,prick,slate-crony-brick-prick,4,False
217,2022,wince,slate-grind-chemo-wince,4,False
218,2022,crimp,slate-crony-album-crimp,4,False
219,2022,knoll,slate-dilly-knoll,3,False
220,2022,sugar,slate-curvy-sugar,3,False
221,2022,whack,slate-churn-whack,3,False
222,2022,mount,slate-chino-mount,3,False
223,2022,perky,slate-diner-myrrh-jerky-perky,5,False
224,2022,could,slate-dilly-amuck-could,4,False
225,2022,wrung,slate-crony-abide-wrung,4,False
226,2022,light,slate-guilt-light,3,False
227,2022,those,slate-abhor-those,3,False
228,2022,moist,slate-droit-chemo-moist,4,False
229,2022,shard,slate-chink-abide-shard,4,False
230,2022,pleat,slate-bicep-pleat,3,False
